AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0533827,PATCHES,DOG,TRICOLOR,BLACK,PARSON RUSS TER,NEUTERED,2006-02-06,18 YEARS,2024-08-28,MED SEV,EUTH REQ,,,2024-08-28,RTO,,MED SEV,,SANTA CLARA,2024-08-28
A0569573,SHALE,CAT,BLACK,,DOMESTIC SH,SPAYED,2007-10-12,16 YEARS,2024-09-25,MED SEV,STRAY,OTC,,2024-09-25,EUTH,U MED SEV,MED SEV,1600 BLOCK ALMADEN RD,SAN JOSE,2024-09-25
A0608333,BLACK,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2008-05-05,16 YEARS,2024-08-31,MED R,STRAY,OTC,,2024-09-03,RTF,,FERAL,RIVER VIEW DR,SAN JOSE,2024-09-03
A0636780,SPONGIE,DOG,FAWN,,POODLE MIN,NEUTERED,,NO AGE,2024-07-22,MED SEV,STRAY,OTC,,2024-07-22,RTO,SURRENDER,MED SEV,SNELL AVE,SAN JOSE,2024-08-02
A0666279,NUSCHLER (TEDDY),CAT,PT-FLAME,ORANGE,SIAMESE,NEUTERED,2009-03-14,15 YEARS,2024-09-06,MED R,STRAY,OTC,,2024-09-07,RTO,MICROCHIP,HEALTHY,1400 BLOCK FOXWORTHY AVE X PLUMMER AVE,SAN JOSE,2024-09-07
A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14,15 YEARS,2024-09-03,MED R,FOSTER,,,2024-09-04,FOSTER,,MED R,,SAN JOSE,2024-09-04
A0667848,MOMIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2009-01-14,15 YEARS,2024-09-04,MED R,FOSTER,,,2024-09-04,FOSTER,,MED R,,SAN JOSE,2024-09-04
A0717780,CONNIE,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2010-03-16,14 YEARS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,RESCUE,,HEALTHY,VIA CIELO X VIA VALVERDE,SAN JOSE,2024-07-11
A0717781,MIKAELA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2010-03-16,14 YEARS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,RESCUE,TOWN CATS,HEALTHY,VIA CIELO X VIA VALVERDE,SAN JOSE,2024-07-10
A0719419,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-20,MED R,STRAY,OTC,,2024-08-20,EUTH,U CANCER,MED SEV,MILL POND DR X CANOAS GARDEN AVE,SAN JOSE,2024-08-20
A0721336,MISSHARRIETT,CAT,TABBY-ORG,WHITE,DOMESTIC SH,SPAYED,2009-01-27,15 YEARS,2024-07-27,DEAD,DISPO REQ,OTC OWNED,,2024-07-27,DISPOSAL,,DEAD,,SAN JOSE,2024-07-27
A0734308,DINKERS,DOG,BROWN,,CHIHUAHUA LH,NEUTERED,2009-08-03,15 YEARS,2024-08-29,MED R,STRAY,OTC,,2024-08-31,RTO,,,RANCHERO WAY X MITZI DR,SAN JOSE,2024-08-31
A0742526,JEWELS,DOG,WHITE,TAN,CHIHUAHUA SH,NEUTERED,2011-04-08,13 YEARS,2024-09-24,HEALTHY,STRAY,OTC,,,,,,N 17TH ST X E TAYLOR,SAN JOSE,2024-09-25
A0746047,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-07-27,MED R,STRAY,OTC,,2024-08-06,RTF,,MED R,300 BLOCK FANYON ST X KENNEDY DR,MILPITAS,2024-08-06
A0753204,MILO,DOG,RED,,CHIHUAHUA LH,MALE,,NO AGE,2024-07-30,DEAD,DISPO REQ,OTC,,2024-07-30,DISPOSAL,,DEAD,,SAN JOSE,2024-07-30
A0753221,BAMBOO,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2010-07-07,14 YEARS,2024-07-16,DEAD,DISPO REQ,OTC,,2024-07-16,DISPOSAL,,DEAD,BERONA WAY,SAN JOSE,2024-07-16
A0757232,CANELA,CAT,CALICO-TRI,,DOMESTIC LH,SPAYED,2007-05-22,17 YEARS,2024-08-10,DEAD,DISPO REQ,OTC OWNED,,2024-08-10,DISPOSAL,,DEAD,,SAN JOSE,2024-08-10
A0776196,,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-12,MED SEV,STRAY,OTC,,2024-07-12,EUTH,U CANCER,MED SEV,E SAN FERNANDO ST/S 34TH ST,SAN JOSE,2024-07-12
A0788419,BUD,DOG,TRICOLOR,,BASSET HOUND,NEUTERED,2011-09-25,12 YEARS,2024-08-20,DEAD,DISPO REQ,OTC OWNED,,2024-08-20,DISPOSAL,,DEAD,,SAN JOSE,2024-08-20
A0796309,COCOA,DOG,BLACK,,CHIHUAHUA SH,SPAYED,,NO AGE,2024-07-20,DEAD,DISPO REQ,OTC,,2024-07-20,DISPOSAL,,DEAD,2200 BLOCK DENAIR AVE / BAYARD DR,SAN JOSE,2024-07-20
A0817199,SPOTTIE,DOG,WHITE,,CHIHUAHUA SH,NEUTERED,2012-03-31,12 YEARS,2024-09-20,DEAD,DISPO REQ,OTC,,2024-09-20,DISPOSAL,,DEAD,400 BLOCK N 14TH ST / WASHINGTON ST,SAN JOSE,2024-09-20
